x-axis,1
second,Volt
-13.28125E+00,+2.49027E+00
-13.24219E+00,+2.50032E+00
-13.20313E+00,+2.53298E+00
-13.16406E+00,+2.54052E+00
-13.12500E+00,+2.54052E+00
-13.08594E+00,+2.53926E+00
-13.04688E+00,+2.53926E+00
-13.00781E+00,+2.56062E+00
-12.96875E+00,+2.56439E+00
-12.92969E+00,+2.53047E+00
-12.89063E+00,+2.51916E+00
-12.85156E+00,+2.54554E+00
-12.81250E+00,+2.54931E+00
-12.77344E+00,+2.52670E+00
-12.73438E+00,+2.51162E+00
-12.69531E+00,+2.53047E+00
-12.65625E+00,+2.50283E+00
-12.61719E+00,+2.50283E+00
-12.57813E+00,+2.49780E+00
-12.53906E+00,+2.45132E+00
-12.50000E+00,+2.48524E+00
-12.46094E+00,+2.48524E+00
-12.42188E+00,+2.45132E+00
-12.38281E+00,+2.49906E+00
-12.34375E+00,+2.51790E+00
-12.30469E+00,+2.49027E+00
-12.26563E+00,+2.51288E+00
-12.22656E+00,+2.52042E+00
-12.18750E+00,+2.50785E+00
-12.14844E+00,+2.53675E+00
-12.10938E+00,+2.54680E+00
-12.07031E+00,+2.52921E+00
-12.03125E+00,+2.53047E+00
-11.99219E+00,+2.56313E+00
-11.95313E+00,+2.59077E+00
-11.91406E+00,+2.57821E+00
-11.87500E+00,+2.53926E+00
-11.83594E+00,+2.51288E+00
-11.79688E+00,+2.54177E+00
-11.75781E+00,+2.54554E+00
-11.71875E+00,+2.49655E+00
-11.67969E+00,+2.47393E+00
-11.64063E+00,+2.53549E+00
-11.60156E+00,+2.50283E+00
-11.56250E+00,+2.53675E+00
-11.52344E+00,+2.58951E+00
-11.48438E+00,+2.60710E+00
-11.44531E+00,+2.62343E+00
-11.40625E+00,+2.61087E+00
-11.36719E+00,+2.60836E+00
-11.32813E+00,+2.60836E+00
-11.28906E+00,+2.64228E+00
-11.25000E+00,+2.59454E+00
-11.21094E+00,+2.57695E+00
-11.17188E+00,+2.61087E+00
-11.13281E+00,+2.57946E+00
-11.09375E+00,+2.57067E+00
-11.05469E+00,+2.56313E+00
-11.01563E+00,+2.52293E+00
-10.97656E+00,+2.52042E+00
-10.93750E+00,+2.45383E+00
-10.89844E+00,+2.47896E+00
-10.85938E+00,+2.51916E+00
-10.82031E+00,+2.51790E+00
-10.78125E+00,+2.50283E+00
-10.74219E+00,+2.50408E+00
-10.70313E+00,+2.53926E+00
-10.66406E+00,+2.53926E+00
-10.62500E+00,+2.55559E+00
-10.58594E+00,+2.61966E+00
-10.54688E+00,+2.65484E+00
-10.50781E+00,+2.64479E+00
-10.46875E+00,+2.57444E+00
-10.42969E+00,+2.55685E+00
-10.39063E+00,+2.59328E+00
-10.35156E+00,+2.57444E+00
-10.31250E+00,+2.52293E+00
-10.27344E+00,+2.53298E+00
-10.23438E+00,+2.51037E+00
-10.19531E+00,+2.47519E+00
-10.15625E+00,+2.50032E+00
-10.11719E+00,+2.50032E+00
-10.07813E+00,+2.47268E+00
-10.03906E+00,+2.49906E+00
-10.00000E+00,+2.52921E+00
-9.96094E+00,+2.50283E+00
-9.92188E+00,+2.50911E+00
-9.88281E+00,+2.53172E+00
-9.84375E+00,+2.48775E+00
-9.80469E+00,+2.52042E+00
-9.76563E+00,+2.54052E+00
-9.72656E+00,+2.52042E+00
-9.68750E+00,+2.43750E+00
-9.64844E+00,+2.47896E+00
-9.60938E+00,+2.51539E+00
-9.57031E+00,+2.50660E+00
-9.53125E+00,+2.48901E+00
-9.49219E+00,+2.49780E+00
-9.45313E+00,+2.51413E+00
-9.41406E+00,+2.53172E+00
-9.37500E+00,+2.56941E+00
-9.33594E+00,+2.59202E+00
-9.29688E+00,+2.59202E+00
-9.25781E+00,+2.60710E+00
-9.21875E+00,+2.61212E+00
-9.17969E+00,+2.59705E+00
-9.14063E+00,+2.60333E+00
-9.10156E+00,+2.58700E+00
-9.06250E+00,+2.57444E+00
-9.02344E+00,+2.56815E+00
-8.98438E+00,+2.53675E+00
-8.94531E+00,+2.53549E+00
-8.90625E+00,+2.50283E+00
-8.86719E+00,+2.48524E+00
-8.82813E+00,+2.50283E+00
-8.78906E+00,+2.47016E+00
-8.75000E+00,+2.49906E+00
-8.71094E+00,+2.53172E+00
-8.67188E+00,+2.53675E+00
